X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,orgc_value,orgc_value_avg,orgc_method,orgc_date,orgc_dataset_id,orgc_profile_code,orgc_licence
-101.8486099,33.023613,153945,704862,United States of America,41,69,B1,0,"{1:4.20,2:4.20}",4.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4517,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.8486099,33.023613,153945,704863,United States of America,69,97,B2,0,"{1:3.20,2:3.20}",3.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4517,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.8486099,33.023613,153945,704864,United States of America,97,137,Bk1,0,"{1:2.00,2:2.00}",2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4517,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.8486099,33.023613,153945,704865,United States of America,137,183,Bk2,0,"{1:1.00,2:1.00}",1,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4517,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7430573,33.0708351,153946,704868,United States of America,38,79,B,0,"{1:3.60,2:3.60}",3.6,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4518,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7430573,33.0708351,153946,704869,United States of America,79,114,Bk1,0,"{1:1.70,2:1.70}",1.7,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4518,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7258301,33.7433319,161103,751901,United States of America,79,94,Bt3,0,"{1:3.30,2:3.30}",3.3,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1980-7-1,2:1980-7-1}",US-NCSS,80P0346,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7258301,33.7433319,161103,751902,United States of America,102,132,Btk1,0,"{1:2.80,2:2.80}",2.8,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1980-7-1,2:1980-7-1}",US-NCSS,80P0346,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7258301,33.7433319,161103,751903,United States of America,132,183,Btk2,0,"{1:1.30,2:1.30}",1.3,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1980-7-1,2:1980-7-1}",US-NCSS,80P0346,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7258301,33.7433319,161103,751904,United States of America,193,216,Btk3,0,"{1:1.60,2:1.60}",1.6,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1980-7-1,2:1980-7-1}",US-NCSS,80P0346,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
