"forc_st" "forc_sw" "forc_npp" "month" "day"
6.9497 0.2452 0.01764 3 1
6.8862 0.2457 0.01764 3 2
6.8671 0.2461 0.01764 3 3
6.9155 0.2468 0.01764 3 4
7.0651 0.2476 0.01764 3 5
7.2115 0.2474 0.01764 3 6
7.3138 0.2472 0.01764 3 7
7.3821 0.2469 0.01764 3 8
7.3827 0.2466 0.01764 3 9
7.3781 0.2469 0.01764 3 10
7.443 0.247 0.01764 3 11
7.6045 0.2471 0.01764 3 12
7.776 0.2474 0.01764 3 13
7.9011 0.2481 0.01764 3 14
8.0361 0.2484 0.01764 3 15
8.1895 0.2484 0.01764 3 16
8.2467 0.2486 0.01764 3 17
8.2636 0.2485 0.01764 3 18
8.3096 0.2484 0.01764 3 19
8.3744 0.2478 0.01764 3 20
8.5242 0.2473 0.01764 3 21
8.5731 0.2478 0.01764 3 22
8.5148 0.2476 0.01764 3 23
8.4453 0.2479 0.01764 3 24
8.4796 0.2478 0.01764 3 25
8.6032 0.2475 0.01764 3 26
8.7565 0.2475 0.01764 3 27
8.8069 0.2477 0.01764 3 28
8.8132 0.2477 0.01764 3 29
8.839 0.2473 0.01764 3 30
8.9076 0.2472 0.01764 3 31
8.9763 0.2471 0.01764 4 1
9.1149 0.2475 0.01764 4 2
9.1611 0.2483 0.01764 4 3
9.2392 0.2485 0.01764 4 4
9.3308 0.2487 0.01764 4 5
9.507 0.2491 0.01764 4 6
9.51068 0.2493 0.01764 4 7
9.51074 0.2493 0.01764 4 8
9.51523 0.2494 0.01764 4 9
9.8384 0.2495 0.01764 4 10
9.51358 0.2495 0.01764 4 11
10.2275 0.2496 0.01764 4 12
10.3561 0.2499 0.01764 4 13
10.3965 0.25 0.01764 4 14
10.3787 0.2505 0.01764 4 15
10.3834 0.2505 0.01764 4 16
10.3706 0.2501 0.01764 4 17
10.387 0.2492 0.01764 4 18
10.4318 0.2487 0.01764 4 19
10.4761 0.2481 0.01764 4 20
10.5607 0.2479 0.01764 4 21
10.6261 0.2474 0.01764 4 22
10.7539 0.2473 0.01764 4 23
10.8351 0.2475 0.01764 4 24
10.8242 0.2476 0.01764 4 25
10.8929 0.2473 0.01764 4 26
11.0597 0.2473 0.01764 4 27
11.1977 0.2475 0.01764 4 28
11.2277 0.2477 0.01764 4 29
11.2142 0.2479 0.01764 4 30
11.2007 0.2481 0.01764 5 1
11.2413 0.2479 0.01764 5 2
11.3304 0.2473 0.01764 5 3
11.4488 0.2467 0.01764 5 4
11.5877 0.246 0.01764 5 5
11.6396 0.2454 0.01764 5 6
11.6953 0.2457 0.01764 5 7
11.8169 0.246 0.01764 5 8
11.9471 0.2456 0.01764 5 9
11.9343 0.2451 0.01764 5 10
11.9514 0.2453 0.01764 5 11
12.0287 0.2454 0.01764 5 12
12.0288 0.2457 0.01764 5 13
12.087 0.246 0.01764 5 14
12.2156 0.2462 0.01764 5 15
12.3639 0.2458 0.01764 5 16
12.4829 0.2455 0.01764 5 17
12.5716 0.2453 0.01764 5 18
12.6331 0.2449 0.01764 5 19
12.6598 0.2444 0.01764 5 20
12.7571 0.2439 0.01764 5 21
12.7993 0.2435 0.01764 5 22
12.8324 0.2431 0.01764 5 23
12.9057 0.2431 0.01764 5 24
12.9826 0.2434 0.01764 5 25
13.0586 0.2432 0.01764 5 26
13.0983 0.243 0.01764 5 27
13.2108 0.243 0.01764 5 28
13.3714 0.2427 0.01764 5 29
13.4764 0.2424 0.01764 5 30
13.5814 0.2421 0.01764 5 31
13.6156 0.2417 0.01764 6 1
13.6909 0.2419 0.01764 6 2
13.8371 0.2414 0.01764 6 3
13.9604 0.2412 0.01764 6 4
13.9698 0.2409 0.01764 6 5
13.9954 0.2401 0.01764 6 6
14.0299 0.2394 0.01764 6 7
14.0304 0.2389 0.01764 6 8
13.9596 0.2386 0.01764 6 9
13.9633 0.2381 0.01764 6 10
14.0473 0.2379 0.01764 6 11
14.1751 0.2379 0.01764 6 12
14.2495 0.238 0.01764 6 13
14.3633 0.2385 0.01764 6 14
14.4785 0.2386 0.01764 6 15
14.5014 0.2383 0.0194 6 16
14.5324 0.2379 0.07885 6 17
14.6726 0.2378 0.04745 6 18
14.7799 0.2373 0.06033 6 19
14.7856 0.2371 0.02023 6 20
14.8071 0.2369 0.02381 6 21
14.8067 0.2369 0.02359 6 22
14.7926 0.2365 0.35316 6 23
14.8683 0.2362 0.63206 6 24
15.0126 0.2356 1.13464 6 25
15.1165 0.2353 1.36343 6 26
15.1694 0.2352 1.42253 6 27
15.2058 0.2352 1.56259 6 28
15.2054 0.2353 1.58235 6 29
15.2049 0.2354 1.53349 6 30
15.1914 0.2357 1.56048 7 1
15.1856 0.2363 1.56506 7 2
15.1499 0.2364 1.55377 7 3
15.077 0.2364 1.58994 7 4
15.0824 0.2366 1.97856 7 5
15.1151 0.2365 2.18513 7 6
15.2271 0.2366 2.33348 7 7
15.2539 0.2368 3.02023 7 8
15.3319 0.2363 3.52739 7 9
15.4095 0.2361 3.76871 7 10
15.3952 0.2363 4.09541 7 11
15.417 0.236 4.59199 7 12
15.4311 0.2359 5.25616 7 13
15.4679 0.2359 5.52376 7 14
15.5348 0.2355 5.63014 7 15
15.5656 0.235 5.77355 7 16
15.5398 0.2345 5.71781 7 17
15.5414 0.2344 5.93373 7 18
15.5631 0.2345 6.14436 7 19
15.5753 0.2344 6.59119 7 20
15.5857 0.2346 7.08953 7 21
15.62 0.2342 6.67904 7 22
15.7201 0.2336 5.86828 7 23
15.8273 0.2326 5.44791 7 24
15.8304 0.2322 4.98273 7 25
15.8004 0.2319 5.92667 7 26
15.8187 0.2319 6.39855 7 27
15.8601 0.232 6.53156 7 28
15.8807 0.2319 6.65346 7 29
15.9013 0.2319 6.4289 7 30
15.8634 0.2322 5.22158 7 31
15.7969 0.2326 5.23622 8 1
15.7485 0.2322 6.19587 8 2
15.6867 0.2323 5.83106 8 3
15.6371 0.2332 5.64636 8 4
15.6416 0.234 4.76381 8 5
15.6643 0.2336 5.61479 8 6
15.703 0.2332 6.50546 8 7
15.7279 0.2332 6.51569 8 8
15.7566 0.2331 6.49752 8 9
15.7776 0.2328 5.37188 8 10
15.7567 0.2324 4.86489 8 11
15.7172 0.2326 4.82996 8 12
15.6799 0.2329 4.46569 8 13
15.6905 0.2329 4.44699 8 14
15.7331 0.2324 4.38789 8 15
15.6583 0.2322 4.48544 8 16
15.5312 0.2323 3.66375 8 17
15.422 0.2325 3.56655 8 18
15.3565 0.2327 3.31288 8 19
15.3447 0.2325 3.57061 8 20
15.3583 0.2323 3.25202 8 21
15.2799 0.2326 2.80325 8 22
15.2248 0.2331 3.26737 8 23
15.2295 0.2339 3.42737 8 24
15.177 0.2347 3.75372 8 25
15.0559 0.2352 3.73837 8 26
14.9689 0.2354 3.03028 8 27
14.8983 0.2354 3.00629 8 28
14.8277 0.2355 2.99747 8 29
14.6932 0.236 2.28338 8 30
14.5869 0.2362 2.25763 8 31
14.597 0.2367 0.03103 9 1
14.5961 0.237 0.01764 9 2
14.5766 0.2367 0.78041 9 3
14.5693 0.2367 2.17454 9 4
14.5503 0.2366 2.14808 9 5
14.4779 0.2368 1.96691 9 6
14.4358 0.2366 1.82332 9 7
14.4302 0.236 1.14928 9 8
14.4521 0.2356 0.0286 9 9
14.4109 0.2353 0.37627 9 10
14.3589 0.2353 0.01764 9 11
