sample_date,treatment,replicate,station,core,section,section_length,top_depth,bottom_depth,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,n_percent,c_percent,flag,comment
#,,,,,,centimeter,centimeter,centimeter,cubicCentimeter,gramsPerCubicCentimeter,gramsPerCubicCentimeter,gramsPerHectogram,gramsPerHectogram,,
2001-07-24,T3,R4,S3,C1,Surface,,,,,,,0.1176,1.1573,,
2001-07-24,T3,R4,S4,C1,Deep,,,,,,,0,0,,
2001-07-24,T3,R4,S4,C1,Middle,,,,,,,0.0797,0.4294,,
2001-07-24,T3,R4,S4,C1,Surface,,,,,,,0.1375,1.1654,,
2001-07-24,T3,R4,S5,C1,Deep,,,,,,,0.0521,0.185,,
2001-07-24,T3,R4,S5,C1,Middle,,,,,,,0.0811,0.4244,,
2001-07-24,T3,R4,S5,C1,Surface,,,,,,,0.1309,1.1078,,
2001-07-24,T6,R3,S4,C1,Deep,,,,,,,0.0659,0.2044,,
2001-07-24,T6,R3,S4,C1,Middle,,,,,,,0.0835,0.4565,,
2001-07-24,T6,R3,S4,C1,Surface,,,,,,,0.1338,1.2367,,
2001-07-24,T6,R3,S5,C1,Deep,,,,,,,0.0426,0.1726,,
2001-07-24,T6,R3,S5,C1,Middle,,,,,,,0.0716,0.4331,,
2001-07-24,T6,R3,S5,C1,Surface,,,,,,,0.1202,1.0519,,
2001-07-19,T1,R4,S1,C1,Deep,,,,,,,0.0253,0.2055,,
2001-07-19,T1,R4,S1,C1,Middle,,,,,,,0.056,0.4403,,
2001-07-19,T1,R4,S1,C1,Surface,,,,,,,0.0947,0.9622,,
2001-07-19,T1,R4,S2,C1,Deep,,,,,,,0.0084,0.1074,,
2001-07-19,T1,R4,S2,C1,Middle,,,,,,,0.0332,0.3229,,
2001-07-19,T1,R4,S2,C1,Surface,,,,,,,0.089,0.9761,,
2001-07-19,T1,R4,S3,C1,Deep,,,,,,,0.0233,0.2706,,
2001-07-19,T1,R4,S3,C1,Middle,,,,,,,0.0377,0.3124,,
2001-07-19,T1,R4,S3,C1,Surface,,,,,,,0.0763,0.8322,,
2001-07-19,T1,R4,S4,C1,Deep,,,,,,,0.0124,0.161,,
2001-07-19,T1,R4,S4,C1,Middle,,,,,,,0.0501,0.3796,,
2001-07-19,T1,R4,S4,C1,Surface,,,,,,,0.1065,1.1071,,
2001-07-19,T1,R4,S5,C1,Deep,,,,,,,0.0291,0.1769,,
2001-07-19,T1,R4,S5,C1,Middle,,,,,,,0.0523,0.3691,,
2001-07-19,T1,R4,S5,C1,Surface,,,,,,,0.102,1.0836,,
2001-07-17,T5,R3,S1,C1,Deep,,,,,,,0.0386,0.1354,,
2001-07-17,T5,R3,S1,C1,Middle,,,,,,,0.0634,0.4033,,
2001-07-17,T5,R3,S1,C1,Surface,,,,,,,0.1069,1.005,,
2001-07-17,T5,R3,S2,C1,Deep,,,,,,,0.0131,0.0955,,
2001-07-17,T5,R3,S2,C1,Middle,,,,,,,0.0802,0.9005,,
2001-07-17,T5,R3,S2,C1,Surface,,,,,,,0.1294,1.4145,,
2001-07-17,T5,R3,S3,C1,Deep,,,,,,,0.048,0.1511,,
2001-07-17,T5,R3,S3,C1,Middle,,,,,,,0.0634,0.6246,,
2001-07-17,T5,R3,S3,C1,Surface,,,,,,,0.0967,1.0411,,
2001-07-17,T5,R3,S4,C1,Deep,,,,,,,0.0351,0.0984,,
2001-07-17,T5,R3,S4,C1,Middle,,,,,,,0.1021,0.804,,
2001-07-17,T5,R3,S4,C1,Surface,,,,,,,0.1524,1.5152,,
2001-07-17,T5,R3,S5,C1,Deep,,,,,,,0.0438,0.1423,,
2001-07-17,T5,R3,S5,C1,Middle,,,,,,,0.0907,0.6296,,
2001-07-17,T5,R3,S5,C1,Surface,,,,,,,0.1354,1.6116,,
2001-07-17,T7,R3,S1,C1,Deep,,,,,,,0.0467,0.278,,
2001-07-17,T7,R3,S1,C1,Middle,,,,,,,0.074,0.5528,,
2001-07-17,T7,R3,S1,C1,Surface,,,,,,,0.1431,1.5408,,
