# Soil Moisture - with Trace Gas Sampling,,,,,
#,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/157,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/157.csv,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml,,,,,
#,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,
#,,,,,
#     VARIATE TABLE,,,,,
"# date		sample date",,,,,
"# treatment		LTER treatment",,,,,
"# replicate		LTER replicate",,,,,
"# sub_plot		additional experimental treatment such as fertilization",,,,,
"# moisture	gramsPerGram	measured soil moisture as a fraction (dry weight basis)",,,,,
"# comments		comments about the observation",,,,,
#,,,,,
#,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,
#2012-10-2 Sven Bohm. Discovered that the wet and dry weights were not corrected by the tin weight in the lab. I uploaded the tin weights to the tins table and corrected the moistures in the view. The lack correction caused a slight under estimation of the soil moisture in this dataset.,,,,,
#2021-12-14 Sven Bohm. Added T and R prefixes to treatment and replicate.,,,,,
#,,,,,
#,,,,gramsPerGram,
date,treatment,replicate,sub_plot,moisture,comments
11/13/2007,T2,R3,,0.15,
11/13/2007,T2,R4,,0.19,
11/13/2007,T3,R1,,0.17,
11/13/2007,T3,R2,,0.16,
11/13/2007,T3,R3,,0.15,
11/13/2007,T3,R4,,0.15,
11/13/2007,T4,R1,,0.16,
11/13/2007,T4,R2,,0.19,
11/13/2007,T4,R3,,0.18,
11/13/2007,T4,R4,,0.18,
11/13/2007,T5,R1,,0.2,
11/13/2007,T5,R2,,0.17,
11/13/2007,T5,R3,,0.16,
11/13/2007,T5,R4,,0.17,
11/13/2007,T6,R1,,0.18,
11/13/2007,T6,R2,,0.16,
6/13/2007,T7,R4,,0.07,
6/13/2007,TDF,R1,,0.14,
6/13/2007,TDF,R2,,0.13,
6/13/2007,TDF,R3,,0.2,
7/6/2007,T1,R1,,0.04,
7/6/2007,T1,R2,,0.01,
7/6/2007,T1,R3,,0.01,
7/6/2007,T1,R4,,0.01,
7/6/2007,T2,R1,,0.01,
7/6/2007,T2,R2,,0.01,
7/6/2007,T2,R3,,0.01,
7/6/2007,T2,R4,,0.01,
7/6/2007,T3,R1,,0.01,
7/6/2007,T3,R2,,0.02,
7/6/2007,T3,R3,,0.01,
7/6/2007,T3,R4,,0.01,
7/6/2007,T4,R1,,0.01,
7/6/2007,T4,R2,,0.01,
7/6/2007,T4,R3,,0.01,
7/6/2007,T4,R4,,0.02,
7/6/2007,T5,R1,,0.08,
7/6/2007,T5,R2,,0.09,
7/6/2007,T5,R3,,0.08,
7/6/2007,T5,R4,,0.06,
7/6/2007,T6,R1,,0.05,
7/6/2007,T6,R2,,0.03,
7/6/2007,T6,R3,,0.07,
7/6/2007,T6,R4,,0.03,
7/6/2007,T7,R1,,0.06,
7/6/2007,T7,R2,,0.01,
7/6/2007,T7,R3,,0.03,
7/6/2007,T7,R4,,0.03,
7/6/2007,TDF,R1,,0.08,
7/6/2007,TDF,R2,,0.05,
7/6/2007,TDF,R3,,0.06,
7/25/2007,T1,R1,,0.04,
7/25/2007,T1,R2,,0.04,
7/25/2007,T1,R3,,0.04,
7/25/2007,T1,R4,,0.04,
7/25/2007,T2,R1,,0.04,
7/25/2007,T2,R2,,0.05,
7/25/2007,T2,R3,,0.04,
7/25/2007,T2,R4,,0.07,
7/25/2007,T3,R1,,0.06,
7/25/2007,T3,R2,,0.04,
7/25/2007,T3,R3,,0.04,
7/25/2007,T3,R4,,0.05,
7/25/2007,T4,R1,,0.03,
7/25/2007,T4,R2,,0.04,
7/25/2007,T4,R3,,0.05,
7/25/2007,T4,R4,,0.06,
7/25/2007,T5,R1,,0.08,
7/25/2007,T5,R2,,0.04,
7/25/2007,T5,R3,,0.05,
7/25/2007,T5,R4,,0.06,
7/25/2007,T6,R1,,0.05,
7/25/2007,T6,R2,,0.02,
7/25/2007,T6,R3,,0.04,
7/25/2007,T6,R4,,0.04,
7/25/2007,T7,R1,,0.04,
7/25/2007,T7,R2,,0.06,
7/25/2007,T7,R3,,0.05,
7/25/2007,T7,R4,,0.05,
8/15/2007,T1,R1,,0.09,
8/15/2007,T1,R2,,0.11,
8/15/2007,T1,R3,,0.06,
8/15/2007,T1,R4,,0.08,
8/15/2007,T2,R1,,0.1,
8/15/2007,T2,R2,,0.1,
8/15/2007,T2,R3,,0.09,
8/15/2007,T2,R4,,0.12,
