# Soil Moisture - with Trace Gas Sampling,,,,,
#,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/157,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/157.csv,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml,,,,,
#,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,
#,,,,,
#     VARIATE TABLE,,,,,
"# date		sample date",,,,,
"# treatment		LTER treatment",,,,,
"# replicate		LTER replicate",,,,,
"# sub_plot		additional experimental treatment such as fertilization",,,,,
"# moisture	gramsPerGram	measured soil moisture as a fraction (dry weight basis)",,,,,
"# comments		comments about the observation",,,,,
#,,,,,
#,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,
#2012-10-2 Sven Bohm. Discovered that the wet and dry weights were not corrected by the tin weight in the lab. I uploaded the tin weights to the tins table and corrected the moistures in the view. The lack correction caused a slight under estimation of the soil moisture in this dataset.,,,,,
#2021-12-14 Sven Bohm. Added T and R prefixes to treatment and replicate.,,,,,
#,,,,,
#,,,,gramsPerGram,
date,treatment,replicate,sub_plot,moisture,comments
6/3/2008,T6,R2,,0.05,
6/3/2008,T6,R3,,0.07,
6/3/2008,T6,R4,,0.05,
6/3/2008,T7,R1,,0.05,
6/3/2008,T7,R2,,0.07,
6/3/2008,T7,R3,,0.06,
6/3/2008,T7,R4,,0.04,
6/3/2008,T8,R1,,0.09,
6/3/2008,T8,R2,,0.1,
6/3/2008,T8,R3,,0.09,
6/3/2008,T8,R4,,0.08,
6/17/2008,T1,R1,,0.13,
6/17/2008,T1,R2,,0.16,
6/17/2008,T1,R3,,0.12,
6/17/2008,T1,R4,,0.13,
6/17/2008,T2,R1,,0.15,
6/17/2008,T2,R2,,0.12,
6/17/2008,T2,R3,,0.15,
6/17/2008,T2,R4,,0.18,
6/17/2008,T3,R1,,0.17,
6/17/2008,T3,R2,,0.13,
6/17/2008,T3,R3,,0.14,
6/17/2008,T3,R4,,0.14,
6/17/2008,T4,R1,,0.15,
6/17/2008,T4,R2,,0.17,
6/17/2008,T4,R3,,0.18,
6/17/2008,T4,R4,,0.17,
6/17/2008,T5,R1,,0.19,
6/17/2008,T5,R2,,0.14,
6/17/2008,T5,R3,,0.16,
6/17/2008,T5,R4,,0.17,
6/17/2008,T6,R1,,0.17,
6/17/2008,T6,R2,,0.15,
6/17/2008,T6,R3,,0.19,
6/17/2008,T6,R4,,0.16,
6/17/2008,T7,R1,,0.17,
6/17/2008,T7,R2,,0.2,
6/17/2008,T7,R3,,0.16,
6/17/2008,T7,R4,,0.14,
6/17/2008,T8,R1,,0.22,
6/17/2008,T8,R2,,0.23,
6/17/2008,T8,R3,,0.26,
6/17/2008,T8,R4,,0.21,
7/8/2008,T1,R1,,0.1,
7/8/2008,T1,R2,,0.14,
7/8/2008,T1,R3,,0.1,
7/8/2008,T1,R4,,0.11,
7/8/2008,T2,R1,,0.13,
7/8/2008,T2,R2,,0.11,
7/8/2008,T2,R3,,0.14,
7/8/2008,T2,R4,,0.17,
7/8/2008,T3,R1,,0.17,
7/8/2008,T3,R2,,0.16,
7/8/2008,T3,R3,,0.16,
7/8/2008,T3,R4,,0.15,
7/8/2008,T4,R1,,0.14,
7/8/2008,T4,R2,,0.18,
7/8/2008,T4,R3,,0.2,
7/8/2008,T4,R4,,0.17,
7/8/2008,T5,R1,,0.22,
7/8/2008,T5,R2,,0.16,
7/8/2008,T5,R3,,0.17,
7/8/2008,T5,R4,,0.16,
7/8/2008,T6,R1,,0.19,
7/8/2008,T6,R2,,0.17,
7/8/2008,T6,R3,,0.21,
7/8/2008,T6,R4,,0.17,
7/8/2008,T7,R1,,0.19,
7/8/2008,T7,R2,,0.22,
7/8/2008,T7,R3,,0.16,
7/8/2008,T7,R4,,0.14,
7/8/2008,T8,R1,,0.21,
7/8/2008,T8,R2,,0.23,
7/8/2008,T8,R3,,0.24,
7/8/2008,T8,R4,,0.24,
7/23/2008,T1,R1,,0.08,
7/23/2008,T1,R2,,0.12,
7/23/2008,T1,R3,,0.08,
7/23/2008,T1,R4,,0.1,
7/23/2008,T2,R1,,0.12,
7/23/2008,T2,R2,,0.12,
7/23/2008,T2,R3,,0.14,
7/23/2008,T2,R4,,0.16,
7/23/2008,T3,R1,,0.14,
7/23/2008,T3,R2,,0.13,
7/23/2008,T3,R3,,0.11,
7/23/2008,T3,R4,,0.14,
7/23/2008,T4,R1,,0.13,
7/23/2008,T4,R2,,0.16,
7/23/2008,T4,R3,,0.17,
7/23/2008,T4,R4,,0.15,
7/23/2008,T5,R1,,0.19,
7/23/2008,T5,R2,,0.15,
7/23/2008,T5,R3,,0.15,
7/23/2008,T5,R4,,0.16,
7/23/2008,T6,R1,,0.18,
7/23/2008,T6,R2,,0.18,
7/23/2008,T6,R3,,0.22,
7/23/2008,T6,R4,,0.21,
7/23/2008,T7,R1,,0.16,
7/23/2008,T7,R2,,0.21,
7/23/2008,T7,R3,,0.15,
7/23/2008,T7,R4,,0.17,
7/23/2008,T8,R1,,0.24,
7/23/2008,T8,R2,,0.23,
7/23/2008,T8,R3,,0.24,
7/23/2008,T8,R4,,0.21,
8/20/2008,T1,R1,,0.02,
8/20/2008,T1,R2,,0.04,
8/20/2008,T1,R3,,0.02,
8/20/2008,T1,R4,,0.03,
8/20/2008,T2,R1,,0.02,
8/20/2008,T2,R2,,0.01,
8/20/2008,T2,R3,,0.02,
8/20/2008,T2,R4,,0.05,
8/20/2008,T3,R1,,0.03,
8/20/2008,T3,R2,,0.03,
8/20/2008,T3,R3,,0.04,
8/20/2008,T3,R4,,0.04,
8/20/2008,T4,R1,,0.03,
8/20/2008,T4,R2,,0.04,
8/20/2008,T4,R3,,0.03,
8/20/2008,T4,R4,,0.03,
8/20/2008,T5,R1,,0.18,
8/20/2008,T5,R2,,0.14,
8/20/2008,T5,R3,,0.11,
8/20/2008,T5,R4,,0.12,
8/20/2008,T6,R1,,0.05,
8/20/2008,T6,R2,,0.05,
8/20/2008,T6,R3,,0.1,
8/20/2008,T6,R4,,0.06,
8/20/2008,T7,R1,,0.05,
8/20/2008,T7,R2,,0.07,
8/20/2008,T7,R3,,0.05,
8/20/2008,T7,R4,,0.04,
8/20/2008,T8,R1,,0.07,
8/20/2008,T8,R2,,0.07,
8/20/2008,T8,R3,,0.05,
8/20/2008,T8,R4,,0.09,
9/4/2008,T1,R1,,0.14,
9/4/2008,T1,R3,,0.06,
9/4/2008,T1,R4,,0.08,
9/4/2008,T2,R2,,0.11,
9/4/2008,T3,R2,,0.03,
9/4/2008,T3,R3,,0.06,
9/4/2008,T4,R4,,0.07,
9/4/2008,T5,R3,,0.12,
9/4/2008,T5,R4,,0.15,
9/4/2008,T6,R3,,0.15,
9/4/2008,T6,R4,,0.08,
9/4/2008,T7,R1,,0.15,
9/4/2008,T7,R3,,0.08,
9/4/2008,T7,R4,,0.08,
9/4/2008,T8,R1,,0.09,
9/4/2008,T8,R2,,0.1,
9/4/2008,T8,R3,,0.08,
9/4/2008,T8,R4,,0.08,
9/16/2008,T1,R1,,0.17,
9/16/2008,T1,R2,,0.21,
9/16/2008,T1,R3,,0.14,
9/16/2008,T1,R4,,0.18,
9/16/2008,T2,R1,,0.18,
9/16/2008,T2,R2,,0.16,
9/16/2008,T2,R3,,0.17,
9/16/2008,T2,R4,,0.19,
9/16/2008,T3,R1,,0.19,
9/16/2008,T3,R2,,0.18,
9/16/2008,T3,R3,,0.16,
9/16/2008,T3,R4,,0.17,
9/16/2008,T4,R1,,0.18,
9/16/2008,T4,R2,,0.19,
9/16/2008,T4,R3,,0.21,
9/16/2008,T4,R4,,0.19,
9/16/2008,T5,R1,,0.2,
9/16/2008,T5,R2,,0.18,
9/16/2008,T5,R3,,0.15,
9/16/2008,T5,R4,,0.18,
9/16/2008,T6,R1,,0.22,
9/16/2008,T6,R2,,0.19,
9/16/2008,T6,R3,,0.24,
9/16/2008,T6,R4,,0.19,
9/16/2008,T7,R1,,0.19,
9/16/2008,T7,R2,,0.22,
9/16/2008,T7,R3,,0.19,
9/16/2008,T7,R4,,0.17,
9/16/2008,T8,R1,,0.24,
9/16/2008,T8,R2,,0.25,
9/16/2008,T8,R3,,0.28,
9/16/2008,T8,R4,,0.24,
10/9/2008,T1,R1,,0.18,
10/9/2008,T1,R2,,0.22,
10/9/2008,T1,R3,,0.15,
10/9/2008,T1,R4,,0.2,
10/9/2008,T2,R1,,0.18,
10/9/2008,T2,R2,,0.15,
10/9/2008,T2,R3,,0.17,
10/9/2008,T2,R4,,0.19,
10/9/2008,T3,R1,,0.2,
10/9/2008,T3,R2,,0.18,
10/9/2008,T3,R3,,0.17,
10/9/2008,T3,R4,,0.19,
10/9/2008,T4,R1,,0.18,
10/9/2008,T4,R2,,0.21,
10/9/2008,T4,R3,,0.22,
10/9/2008,T4,R4,,0.19,
10/9/2008,T5,R1,,0.22,
10/9/2008,T5,R2,,0.18,
10/9/2008,T5,R3,,0.17,
10/9/2008,T5,R4,,0.18,
10/9/2008,T6,R1,,0.22,
10/9/2008,T6,R2,,0.19,
10/9/2008,T6,R3,,0.21,
10/9/2008,T6,R4,,0.19,
10/9/2008,T7,R1,,0.2,
10/9/2008,T7,R2,,0.29,
10/9/2008,T7,R3,,0.2,
10/9/2008,T7,R4,,0.18,
10/9/2008,T8,R1,,0.23,
10/9/2008,T8,R2,,0.29,
10/9/2008,T8,R3,,0.27,
10/9/2008,T8,R4,,0.24,
11/11/2008,T1,R1,,0.17,
11/11/2008,T1,R2,,0.21,
11/11/2008,T1,R3,,0.14,
11/11/2008,T1,R4,,0.17,
11/11/2008,T2,R1,,0.16,
11/11/2008,T2,R2,,0.15,
11/11/2008,T2,R3,,0.17,
11/11/2008,T2,R4,,0.2,
11/11/2008,T3,R1,,0.2,
11/11/2008,T3,R2,,0.18,
11/11/2008,T3,R3,,0.17,
11/11/2008,T3,R4,,0.19,
11/11/2008,T4,R1,,0.18,
11/11/2008,T4,R2,,0.19,
11/11/2008,T4,R3,,0.21,
11/11/2008,T4,R4,,0.22,
11/11/2008,T5,R1,,0.2,
11/11/2008,T5,R2,,0.17,
11/11/2008,T5,R3,,0.16,
11/11/2008,T5,R4,,0.17,
11/11/2008,T6,R1,,0.21,
11/11/2008,T6,R2,,0.19,
11/11/2008,T6,R3,,0.22,
11/11/2008,T6,R4,,0.2,
11/11/2008,T7,R1,,0.19,
11/11/2008,T7,R2,,0.25,
11/11/2008,T7,R3,,0.19,
11/11/2008,T7,R4,,0.17,
11/11/2008,T8,R1,,0.23,
11/11/2008,T8,R2,,0.25,
11/11/2008,T8,R3,,0.28,
11/11/2008,T8,R4,,0.24,
8/23/2012,T6,R4,,0.08,
8/23/2012,T7,R1,,0.1,
8/23/2012,T7,R2,,0.09,
8/23/2012,T7,R3,,0.08,
8/23/2012,T7,R4,,0.1,
8/23/2012,T8,R1,,0.1,
8/23/2012,T8,R2,,0.11,
8/23/2012,T8,R3,,0.13,
8/23/2012,T8,R4,,0.11,
9/13/2012,T1,R1,,0.05,
9/13/2012,T1,R2,,0.07,
9/13/2012,T1,R3,,0.06,
9/13/2012,T1,R4,,0.07,
9/13/2012,T2,R1,,0.04,
9/13/2012,T2,R2,,0.06,
9/13/2012,T2,R3,,0.06,
9/13/2012,T2,R4,,0.07,
9/13/2012,T3,R1,,0.05,
9/13/2012,T3,R2,,0.06,
9/13/2012,T3,R3,,0.06,
9/13/2012,T3,R4,,0.06,
9/13/2012,T4,R1,,0.05,
9/13/2012,T4,R2,,0.07,
9/13/2012,T4,R3,,0.07,
9/13/2012,T4,R4,,0.08,
9/13/2012,T5,R1,,0.08,
9/13/2012,T5,R2,,0.06,
9/13/2012,T5,R3,,0.05,
9/13/2012,T5,R4,,0.06,
9/13/2012,T7,R1,,0.05,
9/13/2012,T7,R2,,0.08,
9/13/2012,T7,R3,,0.06,
9/13/2012,T7,R4,,0.07,
9/13/2012,T8,R1,,0.09,
9/13/2012,T8,R2,,0.08,
9/13/2012,T8,R3,,0.11,
9/13/2012,T8,R4,,0.08,
3/29/2012,T1,R1,,0.15,
3/29/2012,T1,R2,,0.2,
3/29/2012,T1,R3,,0.13,
3/29/2012,T1,R4,,0.16,
3/29/2012,T2,R1,,0.16,
3/29/2012,T2,R2,,0.12,
3/29/2012,T2,R3,,0.15,
3/29/2012,T2,R4,,0.2,
3/29/2012,T3,R1,,0.18,
3/29/2012,T3,R2,,0.14,
3/29/2012,T3,R3,,0.13,
3/29/2012,T3,R4,,0.16,
3/29/2012,T4,R1,,0.15,
3/29/2012,T4,R2,,0.2,
3/29/2012,T4,R3,,0.2,
3/29/2012,T4,R4,,0.19,
3/29/2012,T5,R1,,0.19,
3/29/2012,T5,R2,,0.14,
3/29/2012,T5,R3,,0.18,
3/29/2012,T5,R4,,0.16,
3/29/2012,T6,R1,,0.22,
3/29/2012,T6,R2,,0.17,
3/29/2012,T6,R3,,0.2,
3/29/2012,T6,R4,,0.16,
3/29/2012,T7,R1,,0.19,
3/29/2012,T7,R2,,0.22,
3/29/2012,T7,R3,,0.18,
3/29/2012,T7,R4,,0.16,
3/29/2012,T8,R1,,0.22,
3/29/2012,T8,R2,,0.25,
3/29/2012,T8,R3,,0.23,
3/29/2012,T8,R4,,0.27,
4/12/2012,T1,R1,,0.12,
4/12/2012,T1,R2,,0.2,
4/12/2012,T1,R3,,0.12,
4/12/2012,T1,R4,,0.16,
4/12/2012,T2,R1,,0.13,
4/12/2012,T2,R2,,0.12,
4/12/2012,T2,R3,,0.14,
4/12/2012,T2,R4,,0.17,
4/12/2012,T3,R1,,0.15,
4/12/2012,T3,R2,,0.15,
4/12/2012,T3,R3,,0.12,
4/12/2012,T3,R4,,0.15,
4/12/2012,T4,R1,,0.14,
4/12/2012,T4,R2,,0.17,
4/12/2012,T4,R3,,0.19,
4/12/2012,T4,R4,,0.15,
4/12/2012,T5,R1,,0.16,
4/12/2012,T5,R2,,0.13,
4/12/2012,T5,R3,,0.15,
4/12/2012,T5,R4,,0.14,
4/12/2012,T6,R1,,0.19,
4/12/2012,T6,R2,,0.17,
4/12/2012,T6,R3,,0.22,
4/12/2012,T6,R4,,0.14,
4/12/2012,T7,R1,,0.17,
4/12/2012,T7,R2,,0.2,
4/12/2012,T7,R3,,0.17,
4/12/2012,T7,R4,,0.14,
4/12/2012,T8,R1,,0.26,
4/12/2012,T8,R2,,0.22,
4/12/2012,T8,R3,,0.29,
4/12/2012,T8,R4,,0.32,
4/26/2012,T1,R1,,0.14,
4/26/2012,T1,R2,,0.2,
4/26/2012,T1,R3,,0.14,
4/26/2012,T1,R4,,0.17,
4/26/2012,T2,R1,,0.16,
4/26/2012,T2,R2,,0.13,
4/26/2012,T2,R3,,0.15,
4/26/2012,T2,R4,,0.2,
4/26/2012,T3,R1,,0.17,
4/26/2012,T3,R2,,0.17,
4/26/2012,T3,R3,,0.15,
4/26/2012,T3,R4,,0.15,
4/26/2012,T4,R1,,0.16,
4/26/2012,T4,R2,,0.2,
4/26/2012,T4,R3,,0.21,
4/26/2012,T4,R4,,0.17,
4/26/2012,T5,R1,,0.18,
4/26/2012,T5,R2,,0.18,
4/26/2012,T5,R3,,0.17,
4/26/2012,T5,R4,,0.16,
4/26/2012,T6,R1,,0.2,
4/26/2012,T6,R2,,0.18,
4/26/2012,T6,R3,,0.23,
4/26/2012,T6,R4,,0.18,
4/26/2012,T7,R1,,0.18,
4/26/2012,T7,R2,,0.22,
4/26/2012,T7,R3,,0.2,
4/26/2012,T7,R4,,0.18,
4/26/2012,T8,R1,,0.22,
4/26/2012,T8,R2,,0.29,
4/26/2012,T8,R3,,0.26,
4/26/2012,T8,R4,,0.26,
5/18/2012,T1,R1,,0.12,
5/18/2012,T1,R2,,0.14,
5/18/2012,T1,R3,,0.1,
5/18/2012,T1,R4,,0.13,
5/18/2012,T2,R1,,0.12,
5/18/2012,T2,R2,,0.12,
5/18/2012,T2,R3,,0.13,
5/18/2012,T2,R4,,0.17,
5/18/2012,T3,R1,,0.15,
5/18/2012,T3,R2,,0.12,
5/18/2012,T3,R3,,0.1,
5/18/2012,T3,R4,,0.12,
5/18/2012,T4,R1,,0.14,
5/18/2012,T4,R2,,0.15,
5/18/2012,T4,R3,,0.16,
5/18/2012,T4,R4,,0.14,
5/18/2012,T5,R1,,0.14,
5/18/2012,T5,R2,,0.11,
5/18/2012,T5,R3,,0.12,
5/18/2012,T5,R4,,0.11,
5/18/2012,T6,R1,,0.16,
5/18/2012,T6,R2,,0.12,
5/18/2012,T6,R3,,0.17,
5/18/2012,T6,R4,,0.12,
5/18/2012,T7,R1,,0.12,
5/18/2012,T7,R2,,0.12,
5/18/2012,T7,R3,,0.12,
5/18/2012,T7,R4,,0.09,
5/18/2012,T8,R1,,0.16,
5/18/2012,T8,R2,,0.19,
5/18/2012,T8,R3,,0.16,
5/18/2012,T8,R4,,0.16,
6/1/2012,T1,R1,,0.19,
6/1/2012,T1,R2,,0.23,
6/1/2012,T1,R3,,0.18,
6/1/2012,T1,R4,,0.22,
6/1/2012,T2,R1,,0.18,
6/1/2012,T2,R2,,0.16,
6/1/2012,T2,R3,,0.2,
6/1/2012,T2,R4,,0.21,
6/1/2012,T3,R1,,0.19,
6/1/2012,T3,R2,,0.25,
6/1/2012,T3,R3,,0.19,
6/1/2012,T3,R4,,0.19,
6/1/2012,T4,R1,,0.17,
6/1/2012,T4,R2,,0.25,
6/1/2012,T4,R3,,0.22,
6/1/2012,T4,R4,,0.19,
6/1/2012,T5,R1,,0.19,
6/1/2012,T5,R2,,0.17,
6/1/2012,T5,R3,,0.21,
6/1/2012,T5,R4,,0.17,
6/1/2012,T6,R1,,0.19,
6/1/2012,T6,R2,,0.19,
6/1/2012,T6,R3,,0.23,
6/1/2012,T6,R4,,0.21,
6/1/2012,T7,R1,,0.21,
6/1/2012,T7,R2,,0.21,
6/1/2012,T7,R3,,0.16,
6/1/2012,T7,R4,,0.19,
6/1/2012,T8,R1,,0.25,
6/1/2012,T8,R2,,0.19,
6/1/2012,T8,R3,,0.22,
6/1/2012,T8,R4,,0.18,
6/14/2012,T1,R1,,0.12,
6/14/2012,T1,R2,,0.15,
6/14/2012,T1,R3,,0.08,
6/14/2012,T1,R4,,0.1,
6/14/2012,T2,R1,,0.12,
6/14/2012,T2,R2,,0.12,
6/14/2012,T2,R3,,0.11,
6/14/2012,T2,R4,,0.15,
6/14/2012,T3,R1,,0.14,
6/14/2012,T3,R2,,0.12,
6/14/2012,T3,R3,,0.11,
6/14/2012,T3,R4,,0.12,
6/14/2012,T4,R1,,0.11,
6/14/2012,T4,R2,,0.15,
6/14/2012,T4,R3,,0.15,
6/14/2012,T4,R4,,0.15,
6/14/2012,T5,R1,,0.07,
6/14/2012,T5,R2,,0.08,
6/14/2012,T5,R3,,0.06,
6/14/2012,T5,R4,,0.06,
6/14/2012,T6,R1,,0.07,
6/14/2012,T6,R2,,0.08,
6/14/2012,T6,R3,,0.13,
6/14/2012,T6,R4,,0.07,
6/14/2012,T7,R1,,0.06,
6/14/2012,T7,R2,,0.07,
6/14/2012,T7,R3,,0.05,
6/14/2012,T7,R4,,0.05,
6/14/2012,T8,R1,,0.1,
6/14/2012,T8,R2,,0.09,
6/14/2012,T8,R3,,0.11,
6/14/2012,T8,R4,,0.09,
6/28/2012,T1,R1,,0.09,
6/28/2012,T1,R2,,0.11,
6/28/2012,T1,R3,,0.03,
6/28/2012,T1,R4,,0.05,
6/28/2012,T2,R1,,0.05,
6/28/2012,T2,R2,,0.12,
6/28/2012,T2,R3,,0.08,
6/28/2012,T2,R4,,0.1,
6/28/2012,T3,R1,,0.12,
6/28/2012,T3,R2,,0.09,
6/28/2012,T3,R3,,0.1,
6/28/2012,T3,R4,,0.09,
6/28/2012,T4,R1,,0.12,
6/28/2012,T4,R2,,0.13,
6/28/2012,T4,R3,,0.12,
6/28/2012,T4,R4,,0.13,
6/28/2012,T5,R1,,0.05,
6/28/2012,T5,R2,,0.05,
6/28/2012,T5,R3,,0.04,
6/28/2012,T5,R4,,0.06,
6/28/2012,T6,R1,,0.04,
6/28/2012,T6,R2,,0.03,
6/28/2012,T6,R3,,0.05,
6/28/2012,T6,R4,,0.01,
6/28/2012,T7,R1,,0.03,
6/28/2012,T7,R2,,0.04,
6/28/2012,T7,R3,,0.02,
6/28/2012,T7,R4,,0.03,
6/28/2012,T8,R1,,0.06,
6/28/2012,T8,R2,,0.07,
6/28/2012,T8,R3,,0.07,
6/28/2012,T8,R4,,0.08,
7/12/2012,T1,R1,,0.01,
7/12/2012,T1,R2,,0.04,
7/12/2012,T1,R3,,0.02,
7/12/2012,T1,R4,,0.03,
7/12/2012,T2,R1,,0.03,
7/12/2012,T2,R2,,0.01,
7/12/2012,T2,R3,,0.01,
7/12/2012,T2,R4,,0.04,
7/12/2012,T3,R1,,0.06,
7/12/2012,T3,R2,,0.03,
7/12/2012,T3,R3,,0.06,
7/12/2012,T3,R4,,0.04,
7/12/2012,T4,R1,,0.08,
7/12/2012,T4,R2,,0.07,
7/12/2012,T4,R3,,0.05,
7/12/2012,T4,R4,,0.11,
7/12/2012,T5,R1,,0.05,
7/12/2012,T5,R2,,0.05,
7/12/2012,T5,R3,,0.04,
7/12/2012,T5,R4,,0.06,
7/12/2012,T6,R1,,0.03,
7/12/2012,T6,R2,,0.02,
7/12/2012,T6,R3,,0.05,
7/12/2012,T6,R4,,0.02,
7/12/2012,T7,R1,,0.02,
7/12/2012,T7,R2,,0.04,
7/12/2012,T7,R3,,0.01,
7/12/2012,T7,R4,,0.01,
7/12/2012,T8,R1,,0.06,
7/12/2012,T8,R2,,0.05,
7/12/2012,T8,R3,,0.05,
7/12/2012,T8,R4,,0.04,
8/8/2012,T1,R1,,0.03,
8/8/2012,T1,R2,,0.05,
8/8/2012,T1,R3,,0.02,
8/8/2012,T1,R4,,0.04,
8/8/2012,T2,R1,,0.03,
8/8/2012,T2,R2,,0.03,
8/8/2012,T2,R3,,0.02,
8/8/2012,T2,R4,,0.03,
8/8/2012,T3,R1,,0.05,
8/8/2012,T3,R2,,0.03,
8/8/2012,T3,R3,,0.05,
8/8/2012,T3,R4,,0.05,
8/8/2012,T4,R1,,0.05,
8/8/2012,T4,R2,,0.06,
8/8/2012,T4,R3,,0.05,
8/8/2012,T4,R4,,0.05,
8/8/2012,T5,R1,,0.05,
8/8/2012,T5,R2,,0.06,
8/8/2012,T5,R3,,0.03,
8/8/2012,T5,R4,,0.02,
8/8/2012,T6,R1,,0.04,
8/8/2012,T6,R2,,0.03,
8/8/2012,T6,R3,,0.02,
8/8/2012,T6,R4,,0.01,
8/8/2012,T7,R1,,0.02,
8/8/2012,T7,R2,,0.04,
8/8/2012,T7,R3,,0.02,
8/8/2012,T7,R4,,0.02,
8/8/2012,T8,R1,,0.06,
8/8/2012,T8,R2,,0.05,
8/8/2012,T8,R3,,0.07,
8/8/2012,T8,R4,,0.06,
8/23/2012,T1,R1,,0.1,
8/23/2012,T1,R2,,0.09,
8/23/2012,T1,R3,,0.07,
8/23/2012,T1,R4,,0.09,
8/23/2012,T2,R1,,0.08,
8/23/2012,T2,R2,,0.08,
8/23/2012,T2,R3,,0.08,
8/23/2012,T2,R4,,0.09,
8/23/2012,T3,R1,,0.09,
8/23/2012,T3,R2,,0.08,
8/23/2012,T3,R3,,0.1,
8/23/2012,T3,R4,,0.09,
8/23/2012,T4,R1,,0.08,
8/23/2012,T4,R2,,0.1,
8/23/2012,T4,R3,,0.11,
8/23/2012,T4,R4,,0.09,
8/23/2012,T5,R1,,0.09,
8/23/2012,T5,R2,,0.1,
8/23/2012,T5,R3,,0.1,
8/23/2012,T5,R4,,0.09,
8/23/2012,T6,R1,,0.09,
8/23/2012,T6,R2,,0.08,
8/23/2012,T6,R3,,0.09,
6/4/2009,T8,R1,,0.17,
6/4/2009,T8,R2,,0.17,
6/4/2009,T8,R3,,0.17,
5/21/2009,T6,R2,,0.16,
5/21/2009,T6,R3,,0.17,
5/21/2009,T6,R4,,0.17,
5/21/2009,T7,R1,,0.12,
5/21/2009,T7,R2,,0.15,
5/21/2009,T7,R3,,0.13,
5/21/2009,T7,R4,,0.09,
5/21/2009,T8,R1,,0.2,
5/21/2009,T8,R2,,0.2,
5/21/2009,T8,R3,,0.22,
5/21/2009,T8,R4,,0.19,
6/4/2009,T1,R1,,0.14,
6/4/2009,T1,R2,,0.17,
6/4/2009,T1,R3,,0.12,
6/4/2009,T1,R4,,0.14,
6/4/2009,T2,R1,,0.14,
6/4/2009,T2,R2,,0.12,
6/4/2009,T2,R3,,0.14,
6/4/2009,T2,R4,,0.18,
6/4/2009,T3,R1,,0.15,
6/4/2009,T3,R2,,0.14,
6/4/2009,T3,R3,,0.15,
6/4/2009,T3,R4,,0.15,
6/4/2009,T4,R1,,0.13,
6/4/2009,T4,R2,,0.15,
6/4/2009,T4,R3,,0.16,
6/4/2009,T4,R4,,0.14,
6/4/2009,T5,R1,,0.17,
6/4/2009,T5,R2,,0.16,
6/4/2009,T5,R3,,0.13,
6/4/2009,T5,R4,,0.15,
6/4/2009,T6,R1,,0.16,
6/4/2009,T6,R2,,0.15,
6/4/2009,T6,R3,,0.18,
6/4/2009,T6,R4,,0.16,
6/4/2009,T7,R1,,0.13,
6/4/2009,T7,R2,,0.16,
6/4/2009,T7,R3,,0.12,
6/4/2009,T7,R4,,0.08,
6/4/2009,T8,R4,,0.17,
6/18/2009,T1,R1,,0.15,
6/18/2009,T1,R2,,0.18,
6/18/2009,T1,R3,,0.14,
6/18/2009,T1,R4,,0.17,
6/18/2009,T2,R1,,0.17,
6/18/2009,T2,R2,,0.14,
6/18/2009,T2,R3,,0.16,
6/18/2009,T2,R4,,0.2,
6/18/2009,T3,R1,,0.18,
6/18/2009,T3,R2,,0.17,
6/18/2009,T3,R3,,0.16,
6/18/2009,T3,R4,,0.16,
6/18/2009,T4,R1,,0.16,
6/18/2009,T4,R2,,0.19,
6/18/2009,T4,R3,,0.21,
6/18/2009,T4,R4,,0.18,
6/18/2009,T5,R1,,0.18,
6/18/2009,T5,R2,,0.17,
6/18/2009,T5,R3,,0.17,
6/18/2009,T5,R4,,0.17,
6/18/2009,T6,R1,,0.18,
6/18/2009,T6,R2,,0.17,
6/18/2009,T6,R3,,0.2,
6/18/2009,T6,R4,,0.17,
6/18/2009,T7,R1,,0.16,
6/18/2009,T7,R2,,0.16,
6/18/2009,T7,R3,,0.12,
6/18/2009,T7,R4,,0.11,
6/18/2009,T8,R1,,0.14,
6/18/2009,T8,R2,,0.19,
6/18/2009,T8,R3,,0.15,
6/18/2009,T8,R4,,0.16,
6/30/2009,T1,R1,,0.12,
6/30/2009,T1,R2,,0.16,
6/30/2009,T1,R3,,0.08,
6/30/2009,T1,R4,,0.12,
6/30/2009,T2,R1,,0.08,
6/30/2009,T2,R2,,0.1,
6/30/2009,T2,R3,,0.11,
6/30/2009,T2,R4,,0.14,
6/30/2009,T3,R1,,0.12,
6/30/2009,T3,R2,,0.12,
6/30/2009,T3,R3,,0.12,
6/30/2009,T3,R4,,0.12,
6/30/2009,T4,R1,,0.13,
6/30/2009,T4,R2,,0.18,
6/30/2009,T4,R3,,0.15,
6/30/2009,T4,R4,,0.15,
6/30/2009,T5,R1,,0.14,
6/30/2009,T5,R2,,0.14,
6/30/2009,T5,R3,,0.13,
6/30/2009,T5,R4,,0.13,
6/30/2009,T6,R1,,0.18,
6/30/2009,T6,R2,,0.13,
6/30/2009,T6,R3,,0.18,
6/30/2009,T6,R4,,0.14,
6/30/2009,T7,R1,,0.13,
6/30/2009,T7,R2,,0.15,
6/30/2009,T7,R3,,0.14,
