ApsimVersion = 7.10 r4220
Title = scen_1_1
           Date          bd(1) paddock.soybean.yield paddock.wheat.yield paddock.maize.yield          sw(1)          st(1) paddock.soybean.biomass paddock.wheat.biomass paddock.maize.biomass         stover         dul(1)         sat(1)          ph(1) n2o_bylayer_kgha(1) n2o_bylayer_kgha(2) n2o_bylayer_kgha(3) n2o_bylayer_kgha(4) n2o_bylayer_kgha(5) oc_bylayer_kgha(1) oc_bylayer_kgha(2) oc_bylayer_kgha(3) oc_bylayer_kgha(4) oc_bylayer_kgha(5)
   (dd/mm/yyyy)       (g/cm^3)               (kg/ha)             (kg/ha)             (kg/ha)        (mm/mm)           (oC)                 (kg/ha)               (kg/ha)               (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)           (pH)             (kg/ha)             (kg/ha)             (kg/ha)             (kg/ha)             (kg/ha)                (%)                (%)                (%)                (%)                (%)
     26/02/2003          0.800                   0.0                 0.0                 0.0          0.208         -1.152                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301000         0.19001200
     27/02/2003          0.800                   0.0                 0.0                 0.0          0.205         -2.094                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301000         0.19001200
     28/02/2003          0.800                   0.0                 0.0                 0.0          0.199         -1.294                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301000         0.19001200
     01/03/2003          0.800                   0.0                 0.0                 0.0          0.200         -0.640                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301100         0.19001300
     02/03/2003          0.800                   0.0                 0.0                 0.0          0.204          0.582                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301100         0.19001300
     03/03/2003          0.800                   0.0                 0.0                 0.0          0.204          0.010                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301100         0.19001300
     04/03/2003          0.800                   0.0                 0.0                 0.0          0.204         -0.005                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301100         0.19001300
     05/03/2003          0.800                   0.0                 0.0                 0.0          0.256         -0.805                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301100         0.19001300
     06/03/2003          0.800                   0.0                 0.0                 0.0          0.247         -1.379                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301100         0.19001300
     07/03/2003          0.800                   0.0                 0.0                 0.0          0.239         -1.523                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301100         0.19001300
