# Activity report,,,,
#,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/162,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/162.csv,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/7.eml,,,,
#,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,
# Use of the data constitutes acceptance of the terms.,,,,
#,,,,
#     VARIATE TABLE,,,,
"# Obs_date		observation date",,,,
"# Treatment		experimental treatment",,,,
"# Plot		plot where the activity occured",,,,
"# Observation_type		type of activity.",,,,
"# Equipment		equipment used during the activity.",,,,
#,,,,
#,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,
#,,,,
#,,,,
Obs_date,Treatment,Plot,Observation_type,Equipment
5/22/2021,T3,T3R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/21/2021,T3,T3R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/21/2021,T3,T3R1,Soil Preparation,John Deere 970 12 ft Cultimulcher
5/21/2021,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/19/2021,T3,T3R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/18/2021,T2,T2R1,Pesticide application,Top Air Sprayer
5/18/2021,T2,T2R1,Pesticide application,TeeJet 8001 Flat Fan Nozzles
5/14/2021,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/13/2021,T4,T4R1,Soil Preparation,John Deere 714 Chisel plow
5/11/2021,T2,T2R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/10/2021,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/10/2021,T3,T3R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/8/2021,T3,T3R1,Soil Preparation,John Deere 714 Chisel plow
5/6/2021,T8,T8ntR1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/30/2021,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/30/2021,T3,T3R1P,Fertilizer application,Gandy Orbit-Air (30' boom)
4/30/2021,T3,T3R1P,Fertilizer application,Gandy Orbit-Air (30' boom)
4/30/2021,T3,T3R1P,Fertilizer application,Gandy Orbit-Air (30' boom)
4/30/2021,T3,T3R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/27/2021,T2,T2R1,Fertilizer application,Gandy Orbit-Air (30' boom)
11/18/2020,T8,T8R1,Mowing,John Deere 115 15' flail mower
11/16/2020,T3,T3R1,Planting,John Deere 1590 15' no-till drill
11/16/2020,T4,T4R1,Planting,John Deere 1590 15' no-till drill
11/10/2020,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
11/7/2020,T1,T1R1,Mowing,John Deere 115 15' flail mower
11/7/2020,T2,T2R1,Mowing,John Deere 115 15' flail mower
11/5/2020,T3,T3R1,Mowing,John Deere 115 15' flail mower
11/2/2020,T4,T4R1,Mowing,John Deere 115 15' flail mower
10/29/2020,T1,T1R1,Harvest,John Deere S660 Combine
10/29/2020,T1,T1R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/29/2020,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/29/2020,T1,T1R1,Harvest,Truck #1270 (White/Green)
10/29/2020,T1,T1R1,Harvest,Truck #1271 (Blue/White)
10/29/2020,T1,T1R1,Harvest,Truck #892 (Blue/Red)
10/29/2020,T2,T2R1,Harvest,Truck #1270 (White/Green)
10/29/2020,T2,T2R1,Harvest,Truck #1271 (Blue/White)
10/29/2020,T2,T2R1,Harvest,Truck #892 (Blue/Red)
10/29/2020,T2,T2R1,Harvest,John Deere S660 Combine
10/29/2020,T2,T2R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/29/2020,T2,T2R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/29/2020,T3,T3R1,Harvest,Truck #1270 (White/Green)
10/29/2020,T3,T3R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/29/2020,T3,T3R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/29/2020,T3,T3R1,Harvest,John Deere S660 Combine
10/29/2020,T3,T3R1,Harvest,Truck #892 (Blue/Red)
10/29/2020,T3,T3R1,Harvest,Truck #1271 (Blue/White)
10/29/2020,T4,T4R1,Harvest,Truck #1270 (White/Green)
10/29/2020,T4,T4R1,Harvest,John Deere S660 Combine
10/29/2020,T4,T4R1,Harvest,Truck #892 (Blue/Red)
10/29/2020,T4,T4R1,Harvest,Truck #1271 (Blue/White)
10/29/2020,T4,T4R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/29/2020,T4,T4R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/21/2020,T1,T1R1,Harvest,Kincaid 8XP Plot Combine
10/21/2020,T1,T1R1,Harvest,Truck #892 (Blue/Red)
8/21/2020,T6,T6R1,Harvest,Krone Baler (Big Pack 1270 XC  Multi-Bale)
8/21/2020,T6,T6R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
8/21/2020,T6,T6R1,Harvest,Trailer 34 ft (Gooseneck) Low-Profile with Hydraulic Dove Tail 
8/18/2020,T6,T6R1,Harvest,"John Deere 4995 Discbine with 14'6"" cutting head"
8/5/2020,T5,T5R1,Weed control,John Deere 6' Brushhog Mower
8/5/2020,T5,T5R1,Mowing,John Deere 6' Brushhog Mower
7/30/2020,T6,T6R1,Pesticide application,Top Air Sprayer
7/30/2020,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
7/30/2020,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
7/30/2020,T6,T6R1,Weed control,Top Air Sprayer
7/9/2020,T4,T4R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
6/26/2020,T4,T4R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
6/25/2020,T3,T3R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/25/2020,T3,T3R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/25/2020,T3,T3R1,Pesticide application,Top Air Sprayer
6/25/2020,T3,T3R1,Weed control,Top Air Sprayer
6/24/2020,T1,T1R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/24/2020,T2,T2R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/19/2020,T3,T3R1P,Mowing,John Deere 115 15' flail mower
6/19/2020,T4,T4R1P,Mowing,John Deere 115 15' flail mower
6/18/2020,T1,T1R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/18/2020,T2,T2R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/12/2020,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/11/2020,T8,T8ntR1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/9/2020,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/9/2020,T5,T5R1,Mowing,John Deere 6' Brushhog Mower
6/9/2020,T5,T5R1,Weed control,John Deere 6' Brushhog Mower
6/8/2020,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/8/2020,T6,T6R1,Mowing,John Deere 115 15' flail mower
6/1/2020,T4,T4R1,Planting,John Deere 1730 Maxemerge Plus Planter
6/1/2020,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/30/2020,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/30/2020,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/30/2020,T6,T6R1,Weed control,Top Air Sprayer
5/30/2020,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/30/2020,T6,T6R1,Pesticide application,Top Air Sprayer
5/28/2020,T3,T3R1,Weed control,Top Air Sprayer
5/28/2020,T3,T3R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/28/2020,T3,T3R1,Pesticide application,Top Air Sprayer
5/28/2020,T3,T3R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/28/2020,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/26/2020,T3,T3R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/26/2020,T3,T3R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/26/2020,T3,T3R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/23/2020,T3,T3R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/23/2020,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/22/2020,T6,T6R1,Fertilizer application,Top Air Sprayer
5/22/2020,T6,T6R1,Fertilizer application,Chafer Stream Bars
5/13/2020,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/13/2020,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/13/2020,T8,T8ntR1,Planting,John Deere 1730 Maxemerge Plus Planter
5/13/2020,T8,T8ntR1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/12/2020,T2,T2R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/12/2020,T2,T2R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/12/2020,T4,T4R1,Soil Preparation,John Deere 714 Chisel plow
5/7/2020,T3,T3R1,Soil Preparation,John Deere 714 Chisel plow
5/6/2020,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
5/5/2020,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/4/2020,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
5/4/2020,T8,T8ntR1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/28/2020,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
4/28/2020,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
4/28/2020,T8,T8ntR1,Weed control,Top Air Sprayer
4/28/2020,T8,T8ntR1,Pesticide application,Top Air Sprayer
4/20/2020,T2,T2R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/16/2020,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/16/2020,T3,T3R1,Fertilizer application,Gandy Orbit-Air (30' boom)
1/15/2020,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
11/7/2019,T8,T8R1,Mowing,John Deere 115 15' flail mower
11/5/2019,T6,T6R1,Planting,John Deere 1590 15' no-till drill
10/18/2019,T1,T1R1,Weed control,Top Air Sprayer
10/18/2019,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
10/18/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
10/18/2019,T1,T1R1,Pesticide application,Top Air Sprayer
10/18/2019,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
10/18/2019,T2,T2R1,Pesticide application,Top Air Sprayer
10/18/2019,T2,T2R1,Weed control,Top Air Sprayer
10/18/2019,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
10/18/2019,T8,T8ntR1,Pesticide application,Top Air Sprayer
10/18/2019,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
10/18/2019,T8,T8ntR1,Weed control,Top Air Sprayer
